Date,Clicks,Impressions,CTR,Position
2026-02-12,0,0,,
2026-02-13,0,3,0%,39.7
2026-02-14,0,14,0%,29
2026-02-15,0,6,0%,28.5
2026-02-16,0,18,0%,26.2
2026-02-17,0,8,0%,20.6
2026-02-18,0,19,0%,40.3
2026-02-19,0,12,0%,13.8
2026-02-20,0,21,0%,14
2026-02-21,0,16,0%,33.1
2026-02-22,1,10,10%,38.9
