Date,Total crawl requests,Total download size (Bytes),Average response time (ms)
2026-02-12,3761,115982628,152
2026-02-13,220,4247307,75
2026-02-14,12,126338,131
2026-02-15,5,31145,34
2026-02-16,1,6527,152
2026-02-17,0,0,0
2026-02-18,2,19451,140
2026-02-19,0,0,0
2026-02-20,4,16635,148
2026-02-21,0,0,0
2026-02-22,8,39633,177
2026-02-23,0,0,0
