"Page","Citations"
"https://www.nursinghomeaudit.com/resources/resident-rights-texas","16"
"https://www.nursinghomeaudit.com/","5"
"https://www.nursinghomeaudit.com/resources/signs-of-neglect","1"
"https://www.nursinghomeaudit.com/city/kerrville","1"
"https://www.nursinghomeaudit.com/city/eden","1"
"https://www.nursinghomeaudit.com/resources/reading-inspection-reports","1"
