Top countriess,Clicks,Impressions,CTR,Position
"usa",3,19,15.79%,12.32
"bra",0,1,0%,9.00
"cze",0,1,0%,9.00
"sen",0,1,0%,8.00
"tur",0,1,0%,8.00
